iter	RMSE
0	39.97813083
1	37.83050554
2	35.95911837
3	34.4133316
4	33.08310897
5	31.89629056
6	30.98862074
7	30.13484219
8	29.44858896
9	28.86362536
10	28.34807169
11	27.94712743
12	27.59467484
13	27.31264052
14	27.05993212
15	26.84679551
16	26.65008085
17	26.49375339
18	26.35443097
19	26.22724564
20	26.13335404
21	26.05162053
22	25.97642837
23	25.92603326
24	25.84056776
25	25.78996513
26	25.74202967
27	25.68703122
28	25.63346877
29	25.57902929
30	25.55057223
31	25.49551687
32	25.44780156
33	25.40565538
34	25.37817746
35	25.33762975
36	25.29732536
37	25.26397887
38	25.24911087
39	25.19914876
40	25.15176518
41	25.08633809
42	25.05710981
43	24.99769864
44	24.96354482
45	24.90390972
46	24.86523286
47	24.77921993
48	24.74224846
49	24.72458778
50	24.72202101
51	24.70135686
52	24.68551686
53	24.65265059
54	24.60089543
55	24.53607361
56	24.523594
57	24.45379627
58	24.4102266
59	24.39636812
60	24.36616866
61	24.30476415
62	24.29748442
63	24.28828904
64	24.28266643
65	24.23233691
66	24.18755323
67	24.18230144
68	24.1421005
69	24.12609851
70	24.08052325
71	24.04029727
72	24.02037276
73	24.00373485
74	23.95623834
75	23.93344168
76	23.91311838
77	23.87538022
78	23.85660981
79	23.83708211
80	23.83198519
81	23.81737678
82	23.78576181
83	23.77444937
84	23.75409162
85	23.71114076
86	23.69404383
87	23.69141242
88	23.65548154
89	23.61130572
90	23.57381997
91	23.54008057
92	23.47907379
93	23.47119036
94	23.37752855
95	23.36509425
96	23.32932868
97	23.27420467
98	23.26275761
99	23.25018194
100	23.21179983
101	23.18371286
102	23.17230454
103	23.13096373
104	23.1017949
105	23.06775698
106	23.03474515
107	23.02420927
108	22.98123105
109	22.95447699
110	22.93900705
111	22.91364848
112	22.89120686
113	22.85578232
114	22.84552494
115	22.83417171
116	22.79954188
117	22.73859059
118	22.72879506
119	22.71664821
120	22.70451343
121	22.67799538
122	22.66696573
123	22.64760955
124	22.62074693
125	22.57989518
126	22.55992198
127	22.55052297
128	22.5067075
129	22.48068639
130	22.44450774
131	22.41778942
132	22.3633076
133	22.2946686
134	22.22382317
135	22.17700903
136	22.13927541
137	22.09460471
138	22.084315
139	22.05016277
140	22.02956081
141	21.99360889
142	21.96997513
143	21.96149607
144	21.93673402
145	21.88090665
146	21.84651522
147	21.81184602
148	21.80468174
149	21.7775996
150	21.75603487
151	21.72261666
152	21.68832498
153	21.67104995
154	21.63884737
155	21.6046371
156	21.59164
157	21.56314628
158	21.5455642
159	21.51611595
160	21.49134061
161	21.46424947
162	21.44261192
163	21.43920108
164	21.40874788
165	21.40273579
166	21.36146434
167	21.34141714
168	21.32932697
169	21.32381007
170	21.31396508
171	21.26679559
172	21.26102282
173	21.25543071
174	21.24223875
175	21.23155503
176	21.20696922
177	21.18826689
178	21.17168484
179	21.14156916
180	21.1241533
181	21.09414075
182	21.08930449
183	21.08452778
184	21.06952966
185	21.05558501
186	21.04229946
187	21.01891842
188	20.99129889
189	20.97215006
190	20.95923255
191	20.93676582
192	20.91306844
