iter	Passed	Remaining
0	41	41882
1	102	51081
2	164	54691
3	235	58642
4	315	62881
5	366	60731
6	417	59197
7	486	60335
8	538	59341
9	586	58031
10	640	57588
11	688	56683
12	742	56348
13	797	56153
14	845	55549
15	890	54759
16	942	54474
17	990	54059
18	1042	53802
19	1106	54240
20	1158	54024
21	1210	53812
22	1262	53622
23	1305	53095
24	1350	52661
25	1426	53441
26	1482	53440
27	1532	53206
28	1578	52862
29	1624	52529
30	1670	52206
31	1713	51820
32	1758	51516
33	1807	51340
34	1857	51202
35	1905	51018
36	1951	50787
37	1992	50435
38	2042	50324
39	2090	50174
40	2138	50030
41	2185	49847
42	2234	49740
43	2285	49659
44	2335	49560
45	2382	49415
46	2420	49077
47	2471	49015
48	2515	48817
49	2563	48712
50	2588	48175
51	2634	48031
52	2683	47948
53	2726	47761
54	2770	47595
55	2818	47510
56	2867	47439
57	2918	47395
58	2966	47317
59	3012	47191
60	3057	47058
61	3105	46979
62	3155	46926
63	3207	46911
64	3256	46843
65	3304	46764
66	3351	46673
67	3379	46312
68	3426	46226
69	3470	46114
70	3518	46039
71	3562	45921
72	3610	45852
73	3658	45779
74	3708	45738
75	3752	45624
76	3801	45569
77	3851	45529
78	3909	45582
79	3964	45592
80	4013	45533
81	4064	45499
82	4125	45574
83	4170	45480
84	4211	45330
85	4257	45243
86	4297	45093
87	4334	44916
88	4380	44833
89	4427	44763
90	4475	44707
91	4520	44615
92	4571	44581
93	4620	44529
94	4670	44494
95	4715	44405
96	4763	44349
97	4813	44299
98	4855	44193
99	4907	44164
100	4956	44116
101	5005	44065
102	5051	43991
103	5098	43921
104	5142	43835
105	5191	43784
106	5238	43716
107	5288	43680
108	5335	43615
109	5380	43532
110	5421	43419
111	5464	43323
112	5511	43266
113	5557	43193
114	5606	43145
115	5652	43075
116	5700	43020
117	5743	42929
118	5788	42851
119	5828	42741
120	5868	42629
121	5921	42616
122	5962	42514
123	6008	42449
124	6053	42376
125	6099	42308
126	6146	42252
127	6190	42175
128	6239	42130
129	6283	42053
130	6330	41996
131	6379	41949
132	6428	41906
133	6474	41841
134	6521	41785
135	6569	41736
136	6617	41685
137	6663	41619
138	6701	41510
139	6750	41467
140	6798	41419
141	6837	41316
142	6886	41269
143	6934	41219
144	6978	41147
145	7026	41101
146	7073	41047
147	7120	40988
148	7170	40955
149	7222	40925
150	7268	40865
151	7317	40821
152	7363	40762
153	7412	40720
154	7455	40647
155	7498	40570
156	7548	40530
157	7597	40488
158	7638	40404
159	7683	40339
160	7729	40282
161	7770	40194
162	7818	40149
163	7866	40099
164	7911	40036
165	7959	39989
166	8004	39924
167	8050	39869
168	8095	39808
169	8146	39774
170	8202	39764
171	8249	39712
172	8292	39642
173	8339	39589
174	8388	39546
175	8440	39517
176	8489	39474
177	8536	39419
178	8583	39369
179	8632	39326
180	8679	39272
181	8729	39233
182	8776	39183
183	8822	39125
184	8872	39087
185	8920	39040
186	8972	39008
187	9019	38956
188	9064	38897
189	9112	38848
190	9158	38793
191	9205	38739
192	9252	38686
193	9296	38623
194	9345	38579
195	9392	38530
196	9437	38470
197	9486	38424
198	9534	38375
199	9579	38316
200	9625	38264
201	9673	38216
202	9724	38180
203	9787	38190
204	9837	38149
205	9891	38126
206	9940	38079
207	9977	37989
208	10022	37932
209	10073	37893
210	10121	37847
211	10163	37779
212	10217	37750
213	10268	37714
214	10315	37662
215	10356	37589
216	10407	37552
217	10455	37506
218	10501	37451
219	10545	37389
220	10591	37333
221	10639	37285
222	10686	37234
223	10733	37182
224	10778	37125
225	10825	37075
226	10874	37029
227	10915	36961
228	10959	36898
229	11005	36844
230	11057	36811
231	11103	36757
232	11147	36696
233	11193	36641
234	11244	36603
235	11297	36574
236	11346	36530
237	11396	36488
238	11441	36429
239	11489	36382
240	11532	36319
241	11580	36272
242	11627	36220
243	11676	36178
244	11730	36148
245	11780	36106
246	11830	36065
247	11876	36012
248	11918	35947
249	11964	35894
250	12010	35841
251	12059	35797
252	12104	35740
253	12151	35687
254	12194	35626
255	12243	35582
256	12289	35529
257	12334	35474
258	12379	35417
259	12427	35370
260	12469	35305
261	12518	35261
262	12570	35225
263	12618	35179
264	12663	35122
265	12711	35077
266	12759	35028
267	12807	34980
268	12857	34940
269	12904	34890
